epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.492,1.6703,3.78023,1.6733,0.38129,0.56569,0.39907,0.2272,1.46004,3.05657,1.42763,0.00015,0.00015,0.00015
2,244.921,1.49855,2.20105,1.47243,0.59992,0.50969,0.59551,0.39093,1.33917,2.60305,1.35672,0.000307344,0.000307344,0.000307344
3,322.258,1.48674,1.80718,1.43373,0.57468,0.63752,0.64262,0.41251,1.39753,1.69995,1.26976,0.000459325,0.000459325,0.000459325
4,395.793,1.4967,1.57544,1.42704,0.62336,0.77213,0.74172,0.40508,1.46908,1.35339,1.43085,0.000605944,0.000605944,0.000605944
5,480.839,1.48935,1.44294,1.44589,0.74295,0.73255,0.77069,0.47416,1.40668,1.26253,1.44988,0.0007472,0.0007472,0.0007472
6,555.026,1.44727,1.33526,1.44737,0.74952,0.48672,0.64343,0.38905,1.52762,1.75765,1.50829,0.000883094,0.000883094,0.000883094
7,637.271,1.45685,1.30267,1.44338,0.67074,0.74387,0.73174,0.39069,1.56421,1.5485,1.5136,0.00101362,0.00101362,0.00101362
8,707.06,1.44892,1.23531,1.41238,0.55666,0.62744,0.62266,0.35797,1.52404,1.73899,1.68936,0.00110563,0.00110563,0.00110563
9,781.859,1.39029,1.20884,1.39556,0.73767,0.58518,0.68577,0.42308,1.5296,1.56181,1.72633,0.001085,0.001085,0.001085
10,865.87,1.44137,1.21859,1.42036,0.52999,0.6865,0.66844,0.36455,1.5386,1.45636,1.65182,0.00106437,0.00106437,0.00106437
11,929.493,1.42655,1.16212,1.40036,0.70506,0.66809,0.73646,0.43554,1.49585,1.41645,1.59589,0.00104375,0.00104375,0.00104375
12,1002.68,1.39338,1.12704,1.39295,0.76491,0.55473,0.67996,0.40783,1.54279,1.5866,1.54934,0.00102312,0.00102312,0.00102312
13,1075.4,1.29702,1.01709,1.33773,0.62944,0.63534,0.66753,0.34389,1.60048,1.56169,1.60309,0.0010025,0.0010025,0.0010025
14,1139.76,1.30632,1.041,1.36228,0.60491,0.67622,0.65837,0.38113,1.54035,1.74409,1.58899,0.000981875,0.000981875,0.000981875
15,1208.99,1.3555,1.09144,1.37992,0.70532,0.69264,0.73468,0.4395,1.49249,1.33379,1.52098,0.00096125,0.00096125,0.00096125
16,1268.54,1.29637,1.03574,1.33701,0.72471,0.78921,0.79786,0.47398,1.36451,1.21495,1.44643,0.000940625,0.000940625,0.000940625
17,1339.33,1.34166,1.02108,1.34775,0.71733,0.70196,0.69997,0.41863,1.34812,1.37587,1.44798,0.00092,0.00092,0.00092
18,1410.06,1.32943,1.01333,1.35082,0.88068,0.73999,0.86724,0.53984,1.42664,0.93432,1.45592,0.000899375,0.000899375,0.000899375
19,1481.2,1.24831,0.91331,1.3299,0.91343,0.78033,0.89012,0.53753,1.44687,0.96963,1.48471,0.00087875,0.00087875,0.00087875
20,1551.18,1.27036,0.92785,1.3212,0.85081,0.79386,0.88068,0.53583,1.43216,0.91391,1.44367,0.000858125,0.000858125,0.000858125
21,1618.7,1.23893,0.92439,1.31228,0.88179,0.78988,0.88332,0.56729,1.36096,0.89223,1.41501,0.0008375,0.0008375,0.0008375
22,1691.21,1.18862,0.84112,1.2606,0.81399,0.70568,0.79344,0.46588,1.58033,1.05201,1.53496,0.000816875,0.000816875,0.000816875
23,1758.62,1.20837,0.87682,1.23997,0.79628,0.79672,0.85669,0.49908,1.42794,0.98757,1.45538,0.00079625,0.00079625,0.00079625
24,1831.51,1.26584,0.86801,1.30505,0.85203,0.85476,0.90177,0.54906,1.40024,0.80871,1.43304,0.000775625,0.000775625,0.000775625
25,1910.02,1.24385,0.91188,1.31384,0.87473,0.84249,0.91369,0.56016,1.33172,0.83784,1.41705,0.000755,0.000755,0.000755
26,1970.63,1.1965,0.87676,1.26961,0.90423,0.83149,0.90676,0.56113,1.33152,0.81154,1.3774,0.000734375,0.000734375,0.000734375
27,2046.17,1.17162,0.82108,1.26387,0.87396,0.83281,0.90615,0.59729,1.29565,0.80476,1.31604,0.00071375,0.00071375,0.00071375
